date,Type icon,Type color,type,file name,city,country,coordinates,map link,coord link
2026-01-03T13:48:00,landmark,blue,[[landmark]],Bangsaen Aquarium,[[Chon Buri]],[[Thailand]],"13.285362004793065, 100.92534742339701",https://www.google.com/maps/search/Bangsaen+Aquarium+Chon+Buri+Thailand,"https://www.google.com/maps/search/13.285362004793065, 100.92534742339701"
2026-01-03T07:22:00,landmark,blue,[[landmark]],Bangsaen beach,[[Chon Buri]],[[Thailand]],"13.289705508623022, 100.91387518629492",https://www.google.com/maps/search/Bangsaen+beach+Chon+Buri+Thailand,"https://www.google.com/maps/search/13.289705508623022, 100.91387518629492"
2026-01-02T14:43:00,bed,green,[[hotel]],KyuuScape Pool Villa,[[Chon Buri]],[[Thailand]],"13.299074519603161, 100.9210406075118",https://www.google.com/maps/search/KyuuScape+Pool+Villa+Chon+Buri+Thailand,"https://www.google.com/maps/search/13.299074519603161, 100.9210406075118"
2025-12-31T18:12:00,store,purple,[[market]],Garden of Reeds,[[Chiang Rai]],[[Thailand]],"19.92541562226577, 99.86444608130503",https://www.google.com/maps/search/Garden+of+Reeds+Chiang+Rai+Thailand,"https://www.google.com/maps/search/19.92541562226577, 99.86444608130503"
2025-12-31T14:15:00,landmark,blue,[[landmark]],Choui Fong Tea,[[Chiang Rai]],[[Thailand]],"20.199746682660773, 99.8170902429824",https://www.google.com/maps/search/Choui+Fong+Tea+Chiang+Rai+Thailand,"https://www.google.com/maps/search/20.199746682660773, 99.8170902429824"
2025-12-31T10:59:00,landmark,blue,[[landmark]],Mae Fah Luang Garden สวนแม่ฟ้าหลวง,[[Chiang Rai]],[[Thailand]],"20.29991986696831, 99.85705810628276",https://www.google.com/maps/search/Mae+Fah+Luang+Garden+สวนแม่ฟ้าหลวง+Chiang+Rai+Thailand,"https://www.google.com/maps/search/20.29991986696831, 99.85705810628276"
2025-12-30T14:06:00,landmark,blue,[[landmark]],Wang Put Tan Tea Plantation,[[Chiang Rai]],[[Thailand]],"20.174982081978882, 99.64098036387551",https://www.google.com/maps/search/Wang+Put+Tan+Tea+Plantation+Chiang+Rai+Thailand,"https://www.google.com/maps/search/20.174982081978882, 99.64098036387551"
2025-12-29T21:00:00,bed,green,[[hotel]],Baan Hom Muen Li,[[Chiang Rai]],[[Thailand]],"20.165229818658016, 99.63222251784686",https://www.google.com/maps/search/Baan+Hom+Muen+Li+Chiang+Rai+Thailand,"https://www.google.com/maps/search/20.165229818658016, 99.63222251784686"
2025-12-29T10:24:00,landmark,blue,[[landmark]],Ang Khang Royal Agricultural Station Office,[[Fang]],[[Thailand]],"19.90203425319804, 99.04054973688986",https://www.google.com/maps/search/Ang+Khang+Royal+Agricultural+Station+Office+Fang+Thailand,"https://www.google.com/maps/search/19.90203425319804, 99.04054973688986"
2025-12-28T22:00:00,bed,green,[[hotel]],Ton Fang Hotel,[[Fang]],[[Thailand]],"19.874672192136924, 99.18911502524708",https://www.google.com/maps/search/Ton+Fang+Hotel+Fang+Thailand,"https://www.google.com/maps/search/19.874672192136924, 99.18911502524708"
2025-12-28T18:15:00,store,purple,[[market]],Fang Kalaya Market,[[Fang]],[[Thailand]],"19.915511608992706, 99.20986973381906",https://www.google.com/maps/search/Fang+Kalaya+Market+Fang+Thailand,"https://www.google.com/maps/search/19.915511608992706, 99.20986973381906"
2025-12-28T12:07:00,landmark,blue,[[landmark]],Pang Hwa,[[Chiang Mai]],[[Thailand]],"18.952231834786687, 98.80311496202543",https://www.google.com/maps/search/Pang+Hwa+Chiang+Mai+Thailand,"https://www.google.com/maps/search/18.952231834786687, 98.80311496202543"
2025-12-28T11:06:00,landmark,blue,[[landmark]],Alpaca Sheep Farm Mon Jam,[[Chiang Mai]],[[Thailand]],"18.95490052071346, 98.79509821044654",https://www.google.com/maps/search/Alpaca+Sheep+Farm+Mon+Jam+Chiang+Mai+Thailand,"https://www.google.com/maps/search/18.95490052071346, 98.79509821044654"
2025-12-27T11:13:00,landmark,blue,[[landmark]],Doi Inthanon,[[Chiang Mai]],[[Thailand]],"18.592179298743616, 98.49567349870637",https://www.google.com/maps/search/Doi+Inthanon+Chiang+Mai+Thailand,"https://www.google.com/maps/search/18.592179298743616, 98.49567349870637"
2025-09-06T14:02:00,utensils,red,[[restaurant]],Yum Cha Cuisine Indooroopilly,[[Brisbane]],[[Australia]],"-27.50112627904283, 152.97328378531097",https://www.google.com/maps/search/Yum+Cha+Cuisine+Indooroopilly+Brisbane+Australia,"https://www.google.com/maps/search/-27.50112627904283, 152.97328378531097"
2025-08-29T15:34:00,landmark,blue,[[landmark]],Roma Street Parkland,[[Brisbane]],[[Australia]],"-27.46290655989954, 153.01851549618831",https://www.google.com/maps/search/Roma+Street+Parkland+Brisbane+Australia,"https://www.google.com/maps/search/-27.46290655989954, 153.01851549618831"
2025-08-11T13:01:00,store,purple,[[market]],Brisbane Showgrounds,[[Brisbane]],[[Australia]],"-27.45013818435348, 153.03343265223276",https://www.google.com/maps/search/Brisbane+Showgrounds+Brisbane+Australia,"https://www.google.com/maps/search/-27.45013818435348, 153.03343265223276"
